Voltage Set,Current Set,Voltage Measured,Current Measured,key,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error (%)
1.0,1.0,0.972381828,1.0,0,0.027618172000000052,2.761817200000005,0.0,0.0
2.0,1.0,1.97567902,1.0,0,0.024320979999999937,1.2160489999999968,0.0,0.0
3.0,1.0,2.97834463,1.0,0,0.02165536999999995,0.721845666666665,0.0,0.0
4.0,1.0,3.98106269,1.0,0,0.018937310000000096,0.4734327500000024,0.0,0.0
5.0,1.0,4.98377975,1.0,0,0.016220249999999936,0.3244049999999987,0.0,0.0
6.0,1.0,5.98653157,1.0,0,0.013468429999999643,0.22447383333332738,0.0,0.0
7.0,1.0,6.98925193,1.0,0,0.010748069999999998,0.15354385714285712,0.0,0.0
8.0,1.0,7.99200408,1.0,0,0.007995919999999934,0.09994899999999918,0.0,0.0
9.0,1.0,8.99475055,1.0,0,0.005249450000000877,0.05832722222223197,0.0,0.0
1.0,2.0,0.940421608,2.0,1,0.059578392000000036,5.957839200000004,0.0,0.0
2.0,2.0,1.94369076,2.0,1,0.05630924000000004,2.815462000000002,0.0,0.0
3.0,2.0,2.94637611,2.0,1,0.053623889999999896,1.7874629999999965,0.0,0.0
4.0,2.0,3.94908793,2.0,1,0.050912069999999865,1.2728017499999966,0.0,0.0
5.0,2.0,4.95183203,2.0,1,0.04816796999999973,0.9633593999999945,0.0,0.0
6.0,2.0,5.9545575,2.0,1,0.04544250000000005,0.7573750000000008,0.0,0.0
7.0,2.0,6.95729085,2.0,1,0.04270915000000031,0.6101307142857186,0.0,0.0
8.0,2.0,7.96003042,2.0,1,0.03996958000000017,0.49961975000000214,0.0,0.0
9.0,2.0,8.96280399,2.0,1,0.03719601000000061,0.4132890000000068,0.0,0.0
