Voltage Set,Current Set,Voltage Measured,Current Measured,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error (%),Upper Error Boundary,Lower Error Boundary,Condition ?
1.0,1.0,0.972381828,1.0,0.027618172,2.761817200000005,0.0,0.0,0.17500000000000002,-0.17500000000000002,FAIL
2.0,1.0,1.97567902,1.0,0.0243209799999999,1.2160489999999968,0.0,0.0,0.2,-0.2,FAIL
3.0,1.0,2.97834463,1.0,0.0216553699999999,0.721845666666665,0.0,0.0,0.22500000000000003,-0.22500000000000003,FAIL
4.0,1.0,3.98106269,1.0,0.01893731,0.4734327500000024,0.0,0.0,0.25,-0.25,FAIL
5.0,1.0,4.98377975,1.0,0.0162202499999999,0.3244049999999987,0.0,0.0,0.27499999999999997,-0.27499999999999997,FAIL
6.0,1.0,5.98653157,1.0,0.0134684299999996,0.2244738333333273,0.0,0.0,0.3,-0.3,PASS
7.0,1.0,6.98925193,1.0,0.0107480699999999,0.1535438571428571,0.0,0.0,0.325,-0.325,PASS
8.0,1.0,7.99200408,1.0,0.0079959199999999,0.0999489999999991,0.0,0.0,0.35000000000000003,-0.35000000000000003,PASS
9.0,1.0,8.99475055,1.0,0.0052494500000008,0.0583272222222319,0.0,0.0,0.37500000000000006,-0.37500000000000006,PASS
1.0,2.0,0.940421608,2.0,0.059578392,5.957839200000004,0.0,0.0,0.17500000000000002,-0.17500000000000002,FAIL
2.0,2.0,1.94369076,2.0,0.05630924,2.815462000000002,0.0,0.0,0.2,-0.2,FAIL
3.0,2.0,2.94637611,2.0,0.0536238899999998,1.7874629999999965,0.0,0.0,0.22500000000000003,-0.22500000000000003,FAIL
4.0,2.0,3.94908793,2.0,0.0509120699999998,1.2728017499999966,0.0,0.0,0.25,-0.25,FAIL
5.0,2.0,4.95183203,2.0,0.0481679699999997,0.9633593999999944,0.0,0.0,0.27499999999999997,-0.27499999999999997,FAIL
6.0,2.0,5.9545575,2.0,0.0454425,0.7573750000000008,0.0,0.0,0.3,-0.3,FAIL
7.0,2.0,6.95729085,2.0,0.0427091500000003,0.6101307142857186,0.0,0.0,0.325,-0.325,FAIL
8.0,2.0,7.96003042,2.0,0.0399695800000001,0.4996197500000021,0.0,0.0,0.35000000000000003,-0.35000000000000003,FAIL
9.0,2.0,8.96280399,2.0,0.0371960100000006,0.4132890000000068,0.0,0.0,0.37500000000000006,-0.37500000000000006,FAIL
